mission_phase,B_Fuel_kW,B_Eng_Air_kW,W_Bat_Power_out_kW,W_Electric_Motor_in_kW,W_Mec_Engine_out_kW,W_Mec_Hydraulic_Electric_MT_kW,W_Mec_Motor_out_kW,B_Thrust_kW,B_Eng_Gases_kW,B_Bleed_MT_kW,B_Bat_Heat_kW,B_Inverter_Heat_kW,B_Motor_Heat_kW,B_Prop_Air_kW,B_Dest_Engine_kW,B_Dest_Bat_kW,B_Dest_Inverter_kW,B_Dest_Motor_kW,B_Dest_Prop_kW,P_dissipada_Bat_kW,P_loss_Inv_kW,T0_env_K,I_bat_A,Voc_bat_V,Vload_bat_V,eta_ex_engine,eta_ex_bat,eta_ex_inverter,eta_ex_motor,eta_ex_prop
descent_9,3253.491811,57.315869,0.710152,0.000000,108.817620,29.828000,0.000000,26.683604,1050.247636,1.651806,0,0,0,10.113675,2120.262618,0.000046,0.710152,0.000000,72.020341,0.000046,0.710152,544.469806,0.951472,746.419828,746.371860,0.041877,0.999936,0,0.000000,0.245214
descent_9,3302.172470,58.174137,0.710152,0.000000,114.962293,29.828000,0.000000,30.009670,1062.099758,1.583116,0,0,0,10.485364,2151.873439,0.000046,0.710152,0.000000,74.467259,0.000046,0.710152,546.449197,0.951485,746.410044,746.362076,0.043088,0.999936,0,0.000000,0.261039
descent_9,3326.317090,58.603385,0.710152,0.000000,117.996053,29.828000,0.000000,31.613687,1067.906641,1.548863,0,0,0,10.673088,2167.640918,0.000046,0.710152,0.000000,75.709279,0.000046,0.710152,547.436243,0.951491,746.405153,746.357184,0.043671,0.999936,0,0.000000,0.267922
descent_10,3329.559051,54.127300,0.710152,0.000000,117.220311,29.828000,0.000000,33.945055,1064.872232,1.548739,0,0,0,10.279799,2170.217069,0.000046,0.710152,0.000000,72.995456,0.000046,0.710152,547.436243,0.951491,746.405153,746.357184,0.043458,0.999936,0,0.000000,0.289583
descent_10,3385.384291,55.111444,0.710152,0.000000,120.097207,29.828000,0.000000,34.739834,1079.107084,1.496952,0,0,0,10.537133,2209.966492,0.000046,0.710152,0.000000,74.820241,0.000046,0.710152,548.928553,0.951501,746.397350,746.349381,0.043577,0.999936,0,0.000000,0.289264
descent_10,3459.836305,56.200401,0.710152,0.000000,129.145179,29.828000,0.000000,39.373588,1098.012122,1.393912,0,0,0,11.110326,2257.657493,0.000046,0.710152,0.000000,78.661265,0.000046,0.710152,551.897687,0.951521,746.381748,746.333778,0.045214,0.999936,0,0.000000,0.304878
descent_10,3494.304302,56.743782,0.710152,0.000000,133.512250,29.828000,0.000000,41.489460,1106.134704,1.342580,0,0,0,11.400359,2280.230550,0.000046,0.710152,0.000000,80.622431,0.000046,0.710152,553.376716,0.951531,746.373950,746.325980,0.045998,0.999936,0,0.000000,0.310754
descent_11,3498.135947,52.874111,0.710152,0.000000,132.890240,29.828000,0.000000,43.354161,1103.961336,1.342488,0,0,0,11.070338,2282.987995,0.000046,0.710152,0.000000,78.465741,0.000046,0.710152,553.376716,0.951531,746.373950,746.325980,0.045823,0.999936,0,0.000000,0.326240
descent_11,3530.239819,53.368260,0.710152,0.000000,136.279854,29.828000,0.000000,44.858325,1111.512534,1.299422,0,0,0,11.309512,2304.688268,0.000046,0.710152,0.000000,80.112018,0.000046,0.710152,554.617507,0.951540,746.367056,746.319085,0.046352,0.999936,0,0.000000,0.329163
descent_11,3593.464861,54.247819,0.710152,0.000000,143.069950,29.828000,0.000000,47.801551,1127.131826,1.213486,0,0,0,11.796425,2346.469418,0.000046,0.710152,0.000000,83.471974,0.000046,0.710152,557.093204,0.951557,746.353271,746.305299,0.047399,0.999936,0,0.000000,0.334113
