mission_phase;B_Fuel_kW;B_Eng_Air_kW;B_Electric_Input_kW;W_Bat_Power_out_kW;W_Electric_Motor_in_kW;W_Mec_Engine_out_kW;W_Mec_Hydraulic_Electric_MT_kW;W_Mec_Motor_out_kW;B_Thrust_kW;B_Eng_Gases_kW;B_Bleed_MT_kW;B_Bat_Heat_kW;B_Inverter_Heat_kW;B_Motor_Heat_kW;B_Prop_Air_kW;B_Dest_Engine_kW;B_Dest_Bat_kW;B_Dest_Inverter_kW;B_Dest_Motor_kW;B_Dest_Prop_kW;P_dissipada_Bat_kW;P_loss_Inv_kW;T0_env_K;I_bat_A;Voc_bat_V;Vload_bat_V;eta_ex_engine;eta_ex_bat;eta_ex_inverter;eta_ex_motor;eta_ex_prop;eta_ex_global
reserve_climb_2;10359,48331;104,944258;26,407056;26,311773;227,842492;2943,564715;29,828;221,252685;2692,775521;3865,592981;1,170603;0;0;0;0;3624,271273;0,095283;0;6,589806;632,96348;0,095283;0;558,328413;35,415956;745,62596;742,935556;0,284143;0,996392;1;0,971077;0,850847;0,256679
reserve_climb_2;10216,45256;103,561117;26,407515;26,312171;227,842492;2904,560923;29,828;221,252685;2658,656871;3818,759265;1,214792;0;0;0;0;3565,650697;0,095344;0;6,589806;625,162722;0,095344;0;557,055585;35,427163;745,403041;742,711766;0,28434;0,99639;1;0,971077;0,850549;0,256964
reserve_climb_2;9938,004421;100,868211;26,408426;26,31296;227,842492;2827,460489;29,828;221,252685;2591,167911;3727,059591;1,300745;0;0;0;0;3453,223808;0,095465;0;6,589806;609,742635;0,095465;0;554,579401;35,449378;744,961599;742,268598;0,284622;0,996385;1;0,971077;0,849922;0,257436
reserve_climb_2;9801,674033;99,511947;26,408877;26,313352;227,842492;2788,713636;29,828;221,252685;2557,254657;3682,406642;1,342488;0;0;0;0;3398,895214;0,095525;0;6,589806;601,993264;0,095525;0;553,376716;35,460387;744,743055;742,0492;0,284667;0,996383;1;0,971077;0,849596;0,257591
reserve_climb_3;9814,942131;106,978646;26,408877;26,313352;227,842492;2795,732645;29,828;221,252685;2577,113355;3694,788173;1,34258;0;0;0;0;3400,229379;0,095525;0;6,589806;603,397066;0,095525;0;553,376716;35,460387;744,743055;742,0492;0,28478;0,996383;1;0,971077;0,854201;0,25905
reserve_climb_3;9642,899019;105,116064;26,409475;26,31387;227,842492;2746,457807;29,828;221,252685;2533,804792;3638,560403;1,396009;0;0;0;0;3331,772864;0,095605;0;6,589806;593,542098;0,095605;0;551,837269;35,474978;744,4536;741,758613;0,284805;0,99638;1;0,971077;0,853791;0,259228
reserve_climb_3;9332,897733;101,791002;26,410657;26,314895;227,842492;2658,029144;29,828;221,252685;2455,777395;3537,235649;1,499068;0;0;0;0;3208,096875;0,095762;0;6,589806;575,856366;0,095762;0;548,867588;35,503813;743,882273;741,185051;0,284891;0,996374;1;0,971077;0,852913;0,259566
reserve_climb_3;9184,548861;100,193939;26,411241;26,315402;227,842492;2615,574225;29,828;221,252685;2418,252583;3488,550983;1,548739;0;0;0;0;3149,240853;0,095839;0;6,589806;567,365382;0,095839;0;547,436243;35,518059;743,600351;740,902026;0,284919;0,996371;1;0,971077;0,85245;0,259716
reserve_climb_4;9198,439755;108,678814;26,411241;26,315402;227,842492;2623,154413;29,828;221,252685;2438,12798;3502,339097;1,548863;0;0;0;0;3150,248197;0,095839;0;6,589806;568,88142;0,095839;0;547,436243;35,518059;743,600351;740,902026;0,285049;0,996371;1;0,971077;0,857166;0,261222
reserve_climb_4;9093,660869;107,454312;26,411673;26,315776;227,842492;2593,101858;29,828;221,252685;2411,475849;3467,807107;1,58413;0;0;0;0;3108,794087;0,095897;0;6,589806;562,870909;0,095897;0;546,419976;35,528585;743,392184;740,693043;0,285067;0,996369;1;0,971077;0,856849;0,261335
