mission_phase;B_Fuel_kW;B_Eng_Air_kW;B_Electric_Input_kW;W_Bat_Power_out_kW;W_Electric_Motor_in_kW;W_Mec_Engine_out_kW;W_Mec_Hydraulic_Electric_MT_kW;W_Mec_Motor_out_kW;B_Thrust_kW;B_Eng_Gases_kW;B_Bleed_MT_kW;B_Bat_Heat_kW;B_Inverter_Heat_kW;B_Motor_Heat_kW;B_Prop_Air_kW;B_Dest_Engine_kW;B_Dest_Bat_kW;B_Dest_Inverter_kW;B_Dest_Motor_kW;B_Dest_Prop_kW;P_dissipada_Bat_kW;P_loss_Inv_kW;T0_env_K;I_bat_A;Voc_bat_V;Vload_bat_V;eta_ex_engine;eta_ex_bat;eta_ex_inverter;eta_ex_motor;eta_ex_prop;eta_ex_global
reserve_climb_2;12571,38176;153,313767;0;0;0;2942,409391;29,828;0;2912,184727;4342,673382;1,170603;0;0;0;0;5408,614152;0;0;0;367,801174;0;0;558,328413;0;0;0;0,23358;0;0;0;0,989728;0,228861
reserve_climb_2;12377,44078;151,165115;0;0;0;2899,611381;29,828;0;2870,978408;4281,993835;1,214277;0;0;0;0;5315,958398;0;0;0;362,451423;0;0;557,070411;0;0;0;0,23382;0;0;0;0,990125;0,229154
reserve_climb_2;12102,56513;148,231238;0;0;0;2847,510394;29,828;0;2822,682104;4199,16227;1,300404;0;0;0;0;5172,995303;0;0;0;355,938799;0;0;554,589223;0;0;0;0,234869;0;0;0;0,991281;0,230408
reserve_climb_2;11933,76567;146,370392;0;0;0;2809,03175;29,828;0;2786,549953;4146,516831;1,342488;0;0;0;0;5093,416996;0;0;0;351,128969;0;0;553,376716;0;0;0;0,235002;0;0;0;0,991997;0,230672
reserve_climb_3;11944,72491;157,223083;0;0;0;2815,211377;29,828;0;2800,583818;4161,70248;1,34258;0;0;0;0;5093,863555;0;0;0;351,901422;0;0;553,376716;0;0;0;0,235089;0;0;0;0,994804;0,231416
reserve_climb_3;11712,54494;154,447304;0;0;0;2763,236176;29,828;0;2750,974506;4088,272119;1,396257;0;0;0;0;4984,259687;0;0;0;345,404522;0;0;551,830124;0;0;0;0,235364;0;0;0;0,995563;0,231817
reserve_climb_3;11315,68858;149,740529;0;0;0;2673,063576;29,828;0;2665,091595;3963,62277;1,498903;0;0;0;0;4797,415864;0;0;0;334,132947;0;0;548,872324;0;0;0;0,235743;0;0;0;0,997018;0,232446
reserve_climb_3;11194,31355;148,391246;0;0;0;2649,168076;29,828;0;2644,092653;3927,828164;1,548739;0;0;0;0;4734,331813;0;0;0;331,146009;0;0;547,436243;0;0;0;0,236187;0;0;0;0,998084;0,23311
reserve_climb_4;11208,15278;160,843639;0;0;0;2656,455294;29,828;0;2660,246325;3945,763462;1,548863;0;0;0;0;4735,400804;0;0;0;332,056912;0;0;547,436243;0;0;0;0,236281;0;0;0;1;0,233991
reserve_climb_4;11061,4787;158,935738;0;0;0;2622,184661;29,828;0;2627,364276;3898,864326;1,584266;0;0;0;0;4667,95318;0;0;0;327,773083;0;0;546,416049;0;0;0;0,236356;0;0;0;1;0,234159
reserve_climb_4;10782,29385;155,300794;0;0;0;2555,714509;29,828;0;2563,980568;3809,445523;1,652934;0;0;0;0;4540,953678;0;0;0;319,464314;0;0;544,437293;0;0;0;0,23639;0;0;0;1;0,234419
reserve_climb_4;10653,42981;153,627242;0;0;0;2525,281482;29,828;0;2534,821142;3768,242667;1,686264;0;0;0;0;4482,018638;0;0;0;315,660185;0;0;543,476874;0;0;0;0,23643;0;0;0;1;0,234552
reserve_climb_5;10662,30165;163,472926;0;0;0;2530,314893;29,828;0;2546,569584;3781,767413;1,686376;0;0;0;0;4482,177897;0;0;0;316,289362;0;0;543,476874;0;0;0;0,236486;0;0;0;1;0,235232
reserve_climb_5;10538,29699;161,776564;0;0;0;2501,027459;29,828;0;2518,744776;3742,353911;1,721689;0;0;0;0;4425,142497;0;0;0;312,628432;0;0;542,459353;0;0;0;0,236527;0;0;0;1;0,235395
reserve_climb_5;10296,58301;158,459613;0;0;0;2444,06512;29,828;0;2464,739985;3665,228862;1,790375;0;0;0;0;4314,130264;0;0;0;305,50814;0;0;540,4803;0;0;0;0,236622;0;0;0;1;0,235747
reserve_climb_5;10181,58392;156,881151;0;0;0;2416,375665;29,828;0;2438,657113;3628,495792;1,823766;0;0;0;0;4261,941847;0;0;0;302,046958;0;0;539,518263;0;0;0;0,236612;0;0;0;1;0,235882
reserve_cruise;6306,435261;99,701426;0;0;0;1178,01969;29,828;0;1130,9552;2248,700186;1,823818;0;0;0;0;2947,764994;0;0;0;200,263347;0;0;539,518263;0;0;0;0,188545;0;0;0;0,960048;0,176542
reserve_cruise;6301,574786;99,624585;0;0;0;1176,421428;29,828;0;1129,435532;2246,964063;1,823818;0;0;0;0;2946,162062;0;0;0;199,991643;0;0;539,518263;0;0;0;0,188441;0;0;0;0,96006;0,176441
reserve_cruise;6291,873201;99,471208;0;0;0;1173,235618;29,828;0;1126,406384;2243,498734;1,823818;0;0;0;0;2942,958239;0;0;0;199,450055;0;0;539,518263;0;0;0;0,188233;0;0;0;0,960085;0,176239
reserve_cruise;6287,032092;99,394672;0;0;0;1171,648056;29,828;0;1124,896888;2241,769528;1,823818;0;0;0;0;2941,357362;0;0;0;199,18017;0;0;539,518263;0;0;0;0,18813;0;0;0;0,960098;0,176139
reserve_descent_3;3319,421015;102,293434;0;0;0;172,870289;29,828;0;109,455624;860,025241;1,823766;0;0;0;0;2357,167153;0;0;0;103,722174;0;0;539,518263;0;0;0;0,059239;0;0;0;0,633166;0,031989
